"%1, order %2 has been cancelled.","%1, order %2 telah dibatalkan."
Skip Order Review Step,Skip Order Review Step
PayPal Billing Agreement Settings,Pengaturan Perjanjian Penagihan PayPal
Enabled,Diaktifkan
Will appear as a payment option only for customers who have at least one active billing agreement.,Akan muncul sebagai opsi pembayaran hanya untuk pelanggan yang memiliki setidaknya satu perjanjian penagihan aktif.
Allow in Billing Agreement Wizard,Izinkan dalam Wizard Perjanjian Penagihan
Settlement Report Settings,Setelan Laporan Pemukiman
SFTP Credentials,Kredensial SFTP
Login,Masuk
Password,Kata sandi
Custom Endpoint Hostname or IP-Address,Hostname Endpoint Custom atau IP-Address
"By default it is ""reports.paypal.com"".","Secara default itu adalah ""reports.paypal.com""."
"Use colon to specify port. For example: ""test.example.com:5224"".","Gunakan kolon untuk menentukan port. Misalnya: ""test.example.com:5224""."
Custom Path,Jalur Kustom
Scheduled Fetching,Scheduled Fetching
Enable Automatic Fetching,Aktifkan Pengambilan Otomatis
Schedule,Jadwal
PayPal retains reports for 45 days.,PayPal mempertahankan laporan 45 hari.
Time of Day,Waktu sehari
Frontend Experience Settings,Pengaturan Pengalaman Depan
PayPal Product Logo,Logo Produk PayPal
Displays on catalog pages and homepage.,Menampilkan pada halaman katalog dan beranda.
PayPal Merchant Pages Style,Gaya Laman Pedagang PayPal
Page Style,Gaya Halaman
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Nilai yang diizinkan: ""paypal"", ""primer"" (default), your_custom_value (gaya halaman pembayaran ubahsuaian dari profil akun pedagang Anda)."
Header Image URL,URL Gambar Header
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","Gambar di kiri atas halaman checkout. Ukuran maksimal 750x90-pixel. <strong style = ""color: red""> https </strong> sangat dianjurkan."
Header Background Color,Warna Latar Belakang Header
The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.,Warna latar belakang untuk header halaman checkout. Kode warna heksadesimal HTML enam huruf yang tidak peka huruf besar di ASCII.
Header Border Color,Header perbatasan warna
2-pixel perimeter around the header space.,Perimeter 2 piksel di sekitar ruang header.
Page Background Color,Warna latar belakang Halaman
The background color for the checkout page around the header and payment form.,Warna latar untuk halaman checkout di sekitar header dan formulir pembayaran.
Payments Advanced,Pembayaran lanjutan
Accept payments with a PCI-compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>),Terima pembayaran dengan checkout PCI-compliant yang membuat pelanggan tetap di situs Anda. (<u>Termasuk Checkout Ekspres</u>)
Payments Advanced and Express Checkout,Pembayaran Lanjutan dan Checkout Ekspres
Partner,Mitra
Vendor,Penjual
User,Pengguna
PayPal recommends that you set up an additional User on your account at manager.paypal.com,PayPal merekomendasikan agar Anda membuat Pengguna tambahan di akun Anda di manager.paypal.com
"PayPal recommends you set up an additional User on your account at manager.paypal.com, instead of entering your admin username and password here. This will enhance your security and prevent service interruptions if you later change your password. If you do not want to set up an additional User, you can re-enter your Merchant Login here.","PayPal merekomendasikan agar Anda menyiapkan Pengguna tambahan di akun Anda di manager.paypal.com, alih-alih memasukkan username dan password admin Anda di sini. Ini akan meningkatkan keamanan Anda dan mencegah gangguan layanan jika nantinya Anda mengganti kata sandi Anda. Jika Anda tidak ingin membuat Pengguna tambahan, Anda dapat memasukkan kembali Login Merchant Anda ke sini."
Test Mode,Mode Uji
Use Proxy,Gunakan proxy
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.,module,Magento_Paypal
Context | Request Context."
Basic Settings - PayPal Payments Advanced,Setelan Dasar - Pembayaran PayPal Lanjutan
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","Sebaiknya tetapkan nilai ini ke ""Kartu Debet atau Kredit"" per tampilan toko."
CVV Entry is Editable,Entri CVV dapat diedit
Require CVV Entry,Membutuhkan CVV Entri
Send Email Confirmation,Kirim Konfirmasi Email
URL method for Cancel URL and Return URL,Metode URL untuk URL Pembatalan dan URL Pengembalian
Payflow Link,Tautan Payflow
Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>),Hubungkan akun pedagang Anda dengan gerbang PCI yang sesuai yang memungkinkan pelanggan membayar tanpa meninggalkan situs Anda. (<u>Termasuk Checkout Ekspres</u>)
Payflow Link and Express Checkout,Payflow Link dan Express Checkout
"If you do not have multiple users set up on your account, please re-enter your Vendor/Merchant Login here.","Jika Anda tidak memiliki beberapa pengguna yang disiapkan di akun Anda, masukkan kembali Vendor/Merchant Login Anda di sini."
Enable Payflow Link,Aktifkan Tautan Payflow
Enable Express Checkout,Aktifkan Checkout Ekspres
Basic Settings - PayPal Payflow Link,Setelan Dasar - Tautan PayPal Payflow
Website Payments Pro Hosted Solution,Solusi Pembayaran Situs Peramban Pro
Accept payments with a PCI compliant checkout that keeps customers on your site. (<u>Includes Express Checkout</u>),Terima pembayaran dengan checkout PCI yang sesuai yang membuat pelanggan tetap di situs Anda. (<u> Termasuk Checkout Ekspres </ u>)
Payments Pro Hosted Solution,Solusi yang Dihosting Pro
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
Basic Settings - PayPal Payments Pro Hosted Solution,Setelan Dasar - Solusi Pro berbayar PayPal Payments
Display Express Checkout in the Payment Information step,Tampilkan Checkout Ekspres di langkah Informasi Pembayaran
Website Payments Pro Hosted Solution and Express Checkout,Pembayaran Situs Web Pro Hosted Solution dan Express Checkout
Basic Settings - PayPal Website Payments Pro Hosted Solution,Pengaturan Dasar - Solusi Pembayaran Situs Web PayPal Pro
Payflow Pro,Payflow Pro
Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site. (<u>Includes Express Checkout</u>),Hubungkan akun pedagang Anda dengan gerbang yang dapat disesuaikan sepenuhnya yang memungkinkan pelanggan membayar tanpa meninggalkan situs Anda. (<u>Termasuk Checkout Ekspres</u>)
Vault Enabled,Vault Diaktifkan
Basic Settings - PayPal Payflow Pro,Pengaturan Dasar - PayPal Payflow Pro
Vault Title,Judul Vault
Credit Card Settings,Pengaturan Kartu Kredit
Allowed Credit Card Types,Jenis Kartu Kredit yang Diizinkan
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Dukungan kartu American Express memerlukan persetujuan tambahan. Pelajari lebih lanjut di <a href=""http://www.paypal.com/amexupdate""> http://www.paypal.com/amexupdate </a>."
CVV and AVS Settings,Pengaturan CVV dan AVS
Reject Transaction if:,Menolak Transaksi jika:
AVS Street Does Not Match,AVS Street Tidak Sesuai
AVS Zip Does Not Match,AVS Zip Tidak Cocok
Card Issuer Is Outside The United States,Penerbit Kartu Ada di Luar Amerika Serikat
Card Security Code Does Not Match,Kode Keamanan Kartu Tidak Cocok
Payflow Pro and Express Checkout,Payflow Pro dan Express Checkout
"<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https:/financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https:/financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
We can't contact the PayPal gateway.,Kami tidak dapat menghubungi gerbang PayPal.
The ordering amount of %1 is pending approval on the payment gateway.,Jumlah pemesanan %1 menunggu persetujuan di gateway pembayaran.
Ordered amount of %1,Memerintahkan jumlah %1
Matched whole nine-didgit ZIP (no Address),Cocokkan angka sembilan digit ZIP (tidak ada alamat)
Yes. Matched Address and five-didgit ZIP,Benar. Alamat yang Cocok dan lima digit ZIP
Invalid method %1::%2(%3),Metode tidak valid %1::%2(%3)
"To use PayPal Payments Advanced, you must configure  your PayPal Payments Advanced account on the PayPal website.","Untuk menggunakan Pembayaran PayPal Lanjutan, Anda harus mengonfigurasi akun PayPal Payments Advanced di situs web PayPal."
PayPal Payment Gateways,Pembayaran PayPal Gateway
1,1
PayPal Payment Solutions,Solusi Pembayaran PayPal
Email Associated with PayPal Merchant Account,Email Terkait dengan Akun Pedagang PayPal
Sandbox Credentials,Kredensial Sandbox
"It is recommended to set this value to ""Magento_Paypal"" per store views.","Dianjurkan untuk menetapkan nilai ini ke ""Magento_Paypal"" per tampilan toko."
Payments Advanced (Includes Express Checkout),Pembayaran Lanjutan (Termasuk Checkout Ekspres)
Accept payments with a PCI-compliant checkout that keeps customers on your site.,Terima pembayaran dengan PCI-compliant checkout yang membuat pelanggan tetap di situs Anda.
Payflow Link (Includes Express Checkout),Link Payflow (Termasuk Checkout Ekspres)
Connect your merchant account with a PCI-compliant gateway that lets customers pay without leaving your site.,Hubungkan akun pedagang Anda dengan gerbang PCI yang sesuai yang memungkinkan pelanggan membayar tanpa meninggalkan situs Anda.
Accept payments with a PCI compliant checkout that keeps customers on your site.,Terima pembayaran dengan PCI compliant checkout yang sesuai yang membuat pelanggan tetap di situs Anda.
Connect your merchant account with a fully customizable gateway that lets customers pay without leaving your site.,Hubungkan akun pedagang Anda dengan gerbang yang dapat disesuaikan sepenuhnya yang memungkinkan pelanggan membayar tanpa meninggalkan situs Anda.
International AVS Indicator Does Not Match,Indikator AVS Internasional Tidak Cocok
Payflow Pro (Includes Express Checkout),Payflow Pro (Termasuk Checkout Ekspres)
Save for later use.,Simpan untuk digunakan nanti.
Payments Standard,Standar Pembayaran
Accept credit card and PayPal payments securely.,Terimalah kartu kredit dan pembayaran PayPal dengan aman.
Basic Settings - PayPal Website Payments Standard,Pengaturan Dasar - Standar Pembayaran Situs Web PayPal
Website Payments Standard,Standar Pembayaran Situs Web
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","The order wasn't placed. First, agree to the terms and conditions, then try placing your order again."
The payment couldn't be processed at this time. Please try again later.,The payment couldn't be processed at this time. Please try again later.
The verification transaction can't be voided. ,The verification transaction can't be voided.
"PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.,module,Magento_Paypal
You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.,module,Magento_Paypal
<a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>","PayPal Express Checkout lets you give customers access to financing through PayPal Credit&#174; - at no additional cost to you.,module,Magento_Paypal
You get paid up front, even though customers have more time to pay. A pre-integrated payment button lets customers pay quickly with PayPal Credit&#174;.,module,Magento_Paypal
<a href=""https://www.paypal.com/webapps/mpp/promotional-financing"" target=""_blank"">Learn More</a>"
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
"<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>.","<a href=""https://financing.paypal.com/ppfinportal/content/whyUseFinancing"" target=""_blank"">Why Advertise Financing?</a><br/>,module,Magento_Paypal
<strong>Give your sales a boost when you advertise financing.</strong><br/>PayPal helps turn browsers into buyers with financing,module,Magento_Paypal
from PayPal Credit&#174;. Your customers have more time to pay, while you get paid up front – at no additional cost to you.,module,Magento_Paypal
Use PayPal’s free banner ads that let you advertise PayPal Credit&#174; financing as a payment option when your customers check out with PayPal.,module,Magento_Paypal
The PayPal Advertising Program has been shown to generate additional purchases as well as increase consumer's average purchase sizes by 15%,module,Magento_Paypal
or more. <a href=""https://financing.paypal.com/ppfinportal/content/forrester"" target=""_blank"">See Details</a>."
Vault enabled,Vault diaktifkan
Gold,Gold
Blue,Blue
Silver,Silver
Black,Black
Vertical,Vertical
Horizontal,Horizontal
Pill,Pill
Rectangle,Rectangle
Medium,Setandar
Large,Besar
Responsive,Responsive
Checkout,Checkout
Pay,Pay
Buy Now,Buy Now
PayPal,PayPal
Installment,Installment
PayPal Credit,PayPal Credit
PayPal Guest Checkout Credit Card Icons,PayPal Guest Checkout Credit Card Icons
Elektronisches Lastschriftverfahren - German ELV,Elektronisches Lastschriftverfahren - German ELV
Something went wrong with your request. Please try again later.,Something went wrong with your request. Please try again later.
Customize Smart Buttons,Customize Smart Buttons
Checkout Page,Checkout Page
Customize Button,Customize Button
Label,Label
"The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR.","The installment feature is available only in these locales: en_MX, es_MX, en_BR, pt_BR."
Mexico Installment Period,Mexico Installment Period
Brazil Installment Period,Brazil Installment Period
Layout,Layout
Select Responsive to ensure the PayPal button renders correctly on mobile devices.,Select Responsive to ensure the PayPal button renders correctly on mobile devices.
Shape,Shape
Color,Color
Product Pages,Product Pages
Cart Page,Cart Page
Mini Cart,Mini Cart
Features,Features
Disable Funding Options,Disable Funding Options
"PayPal will automatically display each enabled funding option to eligible buyers.,module,Magento_Paypal
For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is,module,Magento_Paypal
offered and the currency offered by the merchant is USD.","PayPal will automatically display each enabled funding option to eligible buyers.,module,Magento_Paypal
For example, PayPal Credit is only shown to buyers in countries where PayPal Credit is,module,Magento_Paypal
offered and the currency offered by the merchant is USD."
Not you?,Bukan kamu?
Your shopping cart has been updated with new prices.,Keranjang belanja Anda telah diperbarui dengan harga baru.
"Welcome, %1!","Selamat datang, %1!"
We cannot load the configuration from file %1.,Kami tidak dapat memuat konfigurasi dari file %1.
"Method ""%1"" is not defined in ""%2""","Metode ""%1"" tidak didefinisikan dalam ""%2"""
"To check out, please sign in using your email address.","Untuk check out, silahkan masuk menggunakan alamat email anda."
Remember Me,Ingat saya
What's this?,Apa ini?
Check &quot;Remember Me&quot; to access your shopping cart on this computer even if you are not signed in.,Periksa &quot; Ingat saya &quot; untuk mengakses keranjang belanja Anda di komputer ini meskipun Anda tidak masuk.
Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.,Centang 'Ingat Saya' untuk mengakses keranjang belanja Anda di komputer ini meskipun Anda tidak masuk.
Persistent Shopping Cart,Daftar Belanja yang Persisten
General Options,Pilihan umum
Enable Persistence,Aktifkan Kegigihan
Persistence Lifetime (seconds),Ketekunan Lifetime (detik)
"Enable ""Remember Me""","Aktifkan ""Ingat Saya"""
"""Remember Me"" Default Value","""Remember Me"" Nilai Default"
Clear Persistence on Sign Out,Bersihkan Ketekunan di Keluar
Persist Shopping Cart,Daftar Belanja Tetap
&nbsp;,&nbsp;
Persist Wish List,Daftar Keinginan yang Bertahan
Persist Recently Ordered Items,Memegang Item yang Baru saja Dipesan
Persist Currently Compared Products,Persist Saat ini Dibandingkan Produk
Persist Comparison History,Sejarah Perbandingan yang Bertahan
Persist Recently Viewed Products,Produk yang baru saja dilihat
Persist Customer Group Membership and Segmentation,Keanggotaan dan Segmentasi Kelompok Pelanggan yang Tetap
Read Product Price,Baca Harga Produk
Edit Product Price,Edit Harga Produk
Edit Product Status,Edit Status Produk
Default Product Price,Harga Produk Default
Defines the default product price,Mendefinisikan harga produk standar
You saved the alert subscription.,Anda menyimpan langganan peringatan.
There are not enough parameters.,Tidak ada cukup parameter.
We can't update the alert subscription right now.,Kami tidak dapat memperbarui langganan lansiran sekarang juga.
Alert subscription has been saved.,Langganan peringatan telah disimpan.
You deleted the alert subscription.,Anda menghapus langganan peringatan.
We can't find the product.,Kami tidak dapat menemukan produknya.
You will no longer receive price alerts for this product.,Anda tidak akan lagi menerima peringatan harga untuk produk ini.
Unable to update the alert subscription.,Tidak dapat memperbarui langganan lansiran.
You will no longer receive stock alerts for this product.,Anda tidak akan lagi menerima peringatan stok untuk produk ini.
The product was not found.,Produk tidak ditemukan.
You will no longer receive stock alerts.,Anda tidak akan lagi menerima peringatan stok.
Invalid block type: %1,Jenis blok tidak valid: %1
Price change alert! We wanted you to know that prices have changed for these products:,Peringatan perubahan harga Kami ingin Anda tahu bahwa harga telah berubah untuk produk ini:
Price:,Harga:
Click here to stop alerts for this product.,Klik di sini untuk menghentikan peringatan produk ini.
Unsubscribe from all price alerts,Berhenti berlangganan semua peringatan harga
In stock alert! We wanted you to know that these products are now available:,Peringatan stok tersedia! Kami ingin Anda tahu bahwa produk ini sekarang telah tersedia:
Unsubscribe from all stock alerts,Berhenti berlangganan dari semua peringatan stok
Product alerts Cron error,Peringatan produk Cron error
Product alerts cron warnings,Pemberitahuan produk peringatan cron
Products price changed alert,Waspada harga produk berubah
"%name,","%nama,"
Products back in stock alert,Peringatan produk tersedia kembali
Product Alerts,Peringatan produk
Allow Alert When Product Price Changes,Izinkan Tanda Saat Perubahan Harga Produk
Allow Alert When Product Comes Back in Stock,Izinkan Pemberitahuan Saat Produk Kembali Berada dalam Persediaan
Price Alert Email Template,Template Email Peringatan Harga
"Email template chosen based on theme fallback when ""Default"" option is selected.","Template email dipilih berdasarkan fallback tema saat opsi ""Default"" dipilih."
Stock Alert Email Template,Template Email Peringatan Stok
Alert Email Sender,Pengirim Email Peringatan
Product Alerts Run Settings,Peringatan Produk Jalankan Pengaturan
Frequency,Frekuensi
Start Time,Waktu mulai
Error Email Recipient,Kesalahan Pada Penerimaan Email
Error Email Sender,Kesalahan Pada Pengiriman Email
Error Email Template,Kesalahan Email Template
Notify me when the price drops,Beritahu saya bila harganya turun
Notify me when this product is in stock,Beritahu saya bila produk ini tersedia
Sign up for price alert,Mendaftar untuk waspada harga
Sign up to be notified when this product is back in stock.,Mendaftar untuk diberitahu saat produk ini   tersedia.
The alert subscription couldn't update at this time. Please try again later.,The alert subscription couldn't update at this time. Please try again later.
The product wasn't found. Verify the product and try again.,The product wasn't found. Verify the product and try again.
Url,Url
Title,Judul
Description,Deskripsi
Preview Image,Gambar Pratinjau
Get Video Information,Dapatkan Informasi Video
Hide from Product Page,Sembunyikan dari Product Page
Role,Wewenang
YouTube and Vimeo supported.,YouTube dan Vimeo didukung.
"Vimeo supported.<br />To add YouTube video, please <a href=""%1"">enter YouTube API Key</a> first.","Vimeo didukung.<br />Untuk menambahkan video YouTube, silakan <a href=""%1"">masukkan Kunci API YouTube</a> terlebih dahulu."
Protocol isn't allowed,Protokol tidak diperbolehkan
Disallowed file type.,Disallowed file type.
Could not get preview image information. Please check your connection and try again.,Tidak bisa mendapatkan informasi gambar pratinjau. Silakan periksa koneksi Anda dan coba lagi.
Add Video,Tambahkan Video
Browse to find or drag image here,Jelajahi untuk mencari atau menyeret gambar di sini
Delete video,Hapus video
Delete image,Hapus gambar
Hidden,Tersembunyi
Alt Text,Alt Teks
Image Size,Ukuran gambar
{size},{size}
Image Resolution,Resolusi gambar
{width}^{height} px,{width}^{height} px
Title:,Judul:
Uploaded:,Diunggah:
Uploader:,Pengunggah:
Duration:,Durasi:
Video Error,Kesalahan Video
Unknown video type,Jenis video tak dikenal
Invalid video url,Url video tidak valid
Youtube API key is invalid,Kunci API Youtube tidak valid
Video cant be shown due to the following reason: ,Video tidak dapat ditampilkan karena alasan berikut:
Video not found,Video tidak ditemukan
New Video,Video baru
Save,Menyimpan
Cancel,Batal
Delete,Hapus
Edit Video,Edit Video
Images and Videos,Gambar dan Video
Product Video,Video produk
YouTube API Key,Kunci API YouTube
Autostart base video,Mulai Otomatis video dasar
Show related video,Tampilkan video terkait
Auto restart video,Otomatis mengulang kembali video
Images And Videos,Gambar Dan Video
Click here to add videos.,Klik di sini untuk menambahkan video.
Add video,Tambahkan video
Click here or drag and drop to add images.,Klik di sini atau drag and drop untuk menambahkan gambar.
Make Base,Membuat dasar
Delete image in all store views,Delete image in all store views
The preview image information is unavailable. Check your connection and try again.,The preview image information is unavailable. Check your connection and try again.
Images And Videos,Gambar Dan Video
Edit Catalog Price Rules,Edit Aturan Harga Katalogi
Edit Cart Price Rules,Edit Cart Price Rules
Edit Automated Email Reminder Rules,Edit Aturan Pengingat Email Otomatis
Quick Order,Quick Order
Page not found.,Halaman tidak ditemukan.
The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.,The uploaded CSV file does not contain a column labelled SKU. Make sure the first column is labelled SKU and that each line in the file contains a SKU value. Then upload the file again.
You should correct the quantity for the product.,You should correct the quantity for the product.
The SKU is out of stock.,SKU ini habis terjual.
We don't have the quantity you requested.,We don't have the quantity you requested.
"An error occurred. For details, see the error log.","Terjadi kesalahan. Untuk rincian, lihat log kesalahan."
Exception message,Pesan kesalahan
The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.,The file could not be uploaded because it is in the wrong format. Please select a CSV file to upload.
Add from File,Add from File
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","File must be in .csv format and include ""SKU"" and ""QTY"" columns"
Choose File,Choose File
Enter Multiple SKUs,Enter Multiple SKUs
Use commas or paragraph to separate SKUs.,Use commas or paragraph to separate SKUs.
Add to List,Add to List
Order by SKU,Pesan menurut SKU
Enter SKU or Product Name,Enter SKU or Product Name
Qty,Jml
Add to Cart,Masukkan ke keranjang
Remove Row,Hapus Baris
 product(s) require(s) your attention., product(s) require(s) your attention.
Enable Quick Order,Enable Quick Order
Download Sample,Download Sample
